symptom_text,disease
I have feeling cold and worn out for the past few days,Hypothyroidism
broken bone from minor fall,Osteoporosis
severe headache with stiff neck and it's getting worse for a while,Meningitis
chest tightness with cough since yesterday,Bronchitis
Suffering from high hot with body ache,Influenza
pain in multiple joints that won't go away for over a week,Arthritis
stomach pain improves with antacids,Peptic Ulcer
Having difficulty breathing and it's getting worse,Asthma
burning while urinating,Urinary Tract Infection
blocked nose facial tenderness since yesterday,Sinusitis
difficulty breathing for past few days,COVID-19
chest congestion,Bronchitis
Recently developed I have dry cough with fever,COVID-19
headache with nausea for past few days,Migraine
Recently developed swollen joints for a while now,Arthritis
I have mild swelling with itching,Allergic Reaction
pain started around belly button moved to right,Appendicitis
bone weakness fractures with minimal trauma,Osteoporosis
I have morning stiffness lasting over 30 minutes,Rheumatoid Arthritis
painful urination,Urinary Tract Infection
wheezing after exertion,Asthma
cold sensitivity for past few days that won't go away,Hypothyroidism
I'm experiencing gout attack big toe excruciating pain,Gout
I have constant thirst,Diabetes
sneezing runny nose watery eyes for a while now,Allergic Reaction
Having issues with persistent cough with mucus,Bronchitis
pain in forehead cheeks nose,Sinusitis
fatigue even after sleeping since yesterday,Fibromyalgia
Been dealing with anaphylactic shock sudden severe reaction,Anaphylaxis
Started experiencing throat pain and runny nose,Common Cold
I have periodic hot attacks,Malaria
sharp soreness in lower right abdomen that won't go away,Appendicitis
joint pain and stiffness,Arthritis
Suffering from jaundice with abdominal soreness yellowing skin for the past few days,Gallstones
I'm experiencing spinning sensation and headache for past few days,Hypertension
I'm experiencing I have high fever with skin irritation,Measles
I'm experiencing altered mental state with infection,Sepsis
sweating and tremors,Hyperthyroidism
Experiencing fever with body ache for a while now,Malaria
Suffering from shortness of breath with upper body tightness,Angina
Recently developed night sweats and fever,Tuberculosis
Recently developed fever and sweating episodes,Malaria
Suffering from tonsillitis red enlarged tonsils,Tonsillitis
body aches pain exhaustion,Fibromyalgia
wear and tear arthritis that won't go away,Osteoarthritis
bad headache and fever since yesterday,Dengue
IBS flare cramping bloating,Irritable Bowel Syndrome
Feeling rapid heartbeat and it's getting worse,Hyperthyroidism
chest tightness since yesterday since yesterday,Asthma
fever and sweating episodes,Malaria
Having issues with nosebleeds with headache,Hypertension
Having issues with upper abdominal pain relieved by eating since this morning,Peptic Ulcer
sudden chest pain sweating feeling doom for a while now,Heart Attack
Been dealing with chills with pain in head,Malaria
I have back pain between shoulders with nausea for a while,Gallstones
I have high fever with rash,Measles
Suffering from fever with cough and rash,Measles
sudden bad pain in head like never before that won't go away,Stroke
Having issues with muscle pain with temperature,Influenza
Been dealing with intense painful in upper belly center,Gallstones
Started experiencing weight loss with increased appetite for past few days,Hyperthyroidism
I've been having sweating and tremors,Hyperthyroidism
Feeling wheezing and persistent cough for several days,Asthma
Having issues with left side numbness facial droop for the last couple of days,Stroke
rheumatoid arthritis joint inflammation since yesterday,Rheumatoid Arthritis
Suffering from nausea with loose motions since this morning,Gastroenteritis
facial pain and pressure around sinuses for a while now,Sinusitis
persistent cough lasting weeks,Tuberculosis
Suffering from rash with fever,Measles
appendicitis symptoms pain nausea burning up since yesterday,Appendicitis
articulation stiffness in morning brief for the past few days,Osteoarthritis
periodic fever attacks,Malaria
peptic ulcer pain upper belly since yesterday,Peptic Ulcer
Started experiencing speech difficulty slurred words confused that started today,Stroke
wheezing with chest pain since yesterday,Asthma
Suffering from coughing up blood since yesterday,Tuberculosis
cognitive difficulties fibro fog,Fibromyalgia
facial discomfort and pressure around sinuses since yesterday,Sinusitis
joint soreness worse end of day for a while now,Osteoarthritis
Started experiencing dry skin and hair loss,Hypothyroidism
fingers swollen difficult to bend,Rheumatoid Arthritis
arm weakness unable to raise both arms for a while now,Stroke
I've been having low blood pressure with rapid pulse,Sepsis
Been dealing with headache with sick to stomach recently,Migraine
I've been having red spots spreading from face,Measles
I've been having joint inflammation very tender since yesterday,Gout
Started experiencing rash with fever,Measles
breathlessness with fatigue,Anemia
Feeling nervousness and anxiety for the past few days,Hyperthyroidism
passing kidney stones painful urination blood that won't go away,Kidney Stones
chest tightness since yesterday,Asthma
waves of pain in back moving to groin since yesterday,Kidney Stones
discomfort in chest arms neck jaw back since yesterday,Angina
burning in chest after eating,GERD
Started experiencing sudden numbness on one side of body,Stroke
stroke symptoms face drooping arm weakness,Stroke
Having issues with Experiencing coughing up phlegm for a while,Bronchitis
sinus pressure headache congestion,Sinusitis
increased thirst and hunger for a while now,Diabetes
tiredness and shortness of breath that won't go away,Anemia
height loss stooped posture,Osteoporosis
increased heart rate,Hyperthyroidism
cold sensitivity for the past few days,Hypothyroidism
Having issues with fatigue and weight gain,Hypothyroidism
duodenal ulcer pain before meals,Peptic Ulcer
muscle pain with fever,Influenza
Started experiencing fever with dry cough that began suddenly,COVID-19
I'm experiencing pulsating headache,Migraine
I've been having sensitive to touch pressure painful for a while,Fibromyalgia
pain in multiple body areas,Fibromyalgia
swelling of lips face throat,Allergic Reaction
Been dealing with mild swelling with itching since this morning,Allergic Reaction
I'm experiencing enlarged lymph nodes neck neck painful recently,Tonsillitis
joint pain and reduced mobility,Arthritis
cold sweat with severe chest pain,Heart Attack
chronic fatigue syndrome tired all time,Chronic Fatigue Syndrome
Suffering from fever with itchy spots for over a week,Chickenpox
allergic response hives itching swelling and it's getting worse,Allergic Reaction
Having issues with painful subsides within 5 minutes of rest for over a week,Angina
cough lasting more than 3 weeks that won't go away,Tuberculosis
Feeling pressing on right abdomen causes severe pain,Appendicitis
Having issues with Having dry skin and hair loss,Hypothyroidism
sleep problems with body soreness that won't go away,Fibromyalgia
Suffering from skin rash red itchy bumps for the last couple of days,Allergic Reaction
bacterial tonsillitis severe pain,Tonsillitis
fever with loss of appetite,Typhoid
cough with phlegm,Pneumonia
I have headache with nausea for past few days,Migraine
Feeling nervousness and anxiety,Hyperthyroidism
I have unable to breathing after allergen exposure,Anaphylaxis
temperature with night sweats and it's getting worse,Tuberculosis
I have right side stomach discomfort with constipation,Appendicitis
chest pain goes away after resting,Angina
Been dealing with severe fatigue and fever since this morning,Influenza
fatigue with joint pain swelling,Rheumatoid Arthritis
Feeling Recently developed fever with cough and red spots,Measles
stiff neck cannot touch chin to chest,Meningitis
bloating with abdominal discomfort,Irritable Bowel Syndrome
knee swelling pain walking,Osteoarthritis
I have itchy red skin rash,Chickenpox
sudden pain near navel that moves to lower right,Appendicitis
cough with nasal discharge,Common Cold
feverish with bumps for the past few days,Dengue
altered mental status with fever that won't go away that began suddenly,Meningitis
I have sinusitis symptoms congestion pressure,Sinusitis
I've been having Having nasal congestion and headache,Common Cold
I've been having extreme body ache and fever,Dengue
Started experiencing acid reflux burning in upper body for several days,GERD
I've been having persistent dry cough with mucus,Bronchitis
itching without rash after contact,Allergic Reaction
face swelling difficulty breathing hives,Anaphylaxis
Recently developed lightheaded dizzy with chest discomfort,Heart Attack
arm weakness unable to raise both arms,Stroke
Recently developed hurt in forehead cheeks nose,Sinusitis
septic shock symptoms fever confusion,Sepsis
prolonged fever,Typhoid
Started experiencing loss of smell and taste,COVID-19
nasal congestion stuffy nose since yesterday,Sinusitis
fever and fatigue,COVID-19
Recently developed severe head hurts worst ever with fever,Meningitis
feeling faint after bee sting for the past few days,Anaphylaxis
Been dealing with wheezing with chest hurt since yesterday,Asthma
Started experiencing pain in chest spreading to left arm,Heart Attack
vision problems for a while now,Hypertension
degenerative joint disease pain for the past few days,Osteoarthritis
Having frequent hunger with weight loss,Diabetes
pain in multiple joints since yesterday,Arthritis
problems swallowing tonsils swollen for the past few days,Tonsillitis
allergic symptoms sneezing itching,Allergic Reaction
I've been having small joints hands feet affected for the past few days,Rheumatoid Arthritis
trembling hands since yesterday that won't go away,Hyperthyroidism
shortness of breath that won't go away,Hypertension
fatigue even after sleeping,Fibromyalgia
I'm experiencing acid backup into throat,GERD
I'm experiencing soreness on one side of head,Migraine
Having issues with mottled skin poor circulation hot,Sepsis
Having issues with bloating with abdominal discomfort,Irritable Bowel Syndrome
I'm experiencing fever with body ache,Malaria
burning sensation during urination for the past few days,Urinary Tract Infection
chronic inflammation joints morning stiffness,Rheumatoid Arthritis
Started experiencing myalgic encephalomyelitis chronic fatigue,Chronic Fatigue Syndrome
tender points neck shoulders back for a while now,Fibromyalgia
Having issues with fever and extreme fatigue,Influenza
I have severe head ache since yesterday,Hypertension
pain in jaw neck or back with chest discomfort,Heart Attack
IBS flare cramping bloating for a while now,Irritable Bowel Syndrome
worst headache of my life sudden onset and it's getting worse,Stroke
I have severe headache,Hypertension
loss of smell and taste,COVID-19
Recently developed night sweats and fever for the past few days,Tuberculosis
Started experiencing extreme exhaustion lasting over 6 months,Chronic Fatigue Syndrome
Suffering from increased thirst and hunger,Diabetes
rash with fever,Measles
Recently developed Having loose stools and fever,Gastroenteritis
Feeling burning in chest after eating,GERD
I've been having bacterial meningitis symptoms neck hurt headache,Meningitis
acid backup into throat,GERD
Started experiencing malnutrition with digestive problems for over a week,Celiac Disease
I have runny nose and sneezing that won't go away,Common Cold
Started experiencing fever and sweating episodes for the past few days,Malaria
Started experiencing skin eruptions with itching,Chickenpox
Suffering from high temperature with joint pain that won't go away,Dengue
belly ulcer discomfort after eating and it's getting worse,Peptic Ulcer
Having issues with shortness of breath,Anemia
heartburn worse at night lying and it's getting worse,GERD
widespread pain all over body,Fibromyalgia
Started experiencing intestinal damage from gluten for the last couple of days,Celiac Disease
I have nosebleeds with headache that won't go away,Hypertension
Having issues with crushing breastbone area pain pressure discomfort,Heart Attack
I'm experiencing burning pain below breastbone,Peptic Ulcer
I have rash starting on face,Measles
high burning up with chills that won't go away that started today,Malaria
confusion with signs of infection and it's getting worse for over a week,Sepsis
sensitive to touch pressure pain,Fibromyalgia
Recently developed I have high fever lasting days,Typhoid
facial pain and pressure around sinuses,Sinusitis
pain after eating fried or greasy food that won't go away recently,Gallstones
Having issues with bitter taste acid coming up recently,GERD
Started experiencing weight gain with tiredness,Hypothyroidism
Suffering from frequent urination for over a week,Diabetes
Having issues with fever with skin rash for several days,Chickenpox
Experiencing sore throat with cough,Common Cold
I have fatigue even after sleeping,Fibromyalgia
Feeling Experiencing coughing up phlegm,Bronchitis
I've been having spinal compression fractures pain,Osteoporosis
I'm experiencing chest pain when breathing,Pneumonia
Started experiencing stroke symptoms face drooping arm weakness that began suddenly,Stroke
difficulty breathing,COVID-19
I'm experiencing Recently developed chest congestion,Bronchitis
Been dealing with spots behind ears,Measles
cloudy urine since yesterday since yesterday,Urinary Tract Infection
Feeling weight loss and sweating,Hyperthyroidism
abdominal pain with bowel changes,Irritable Bowel Syndrome
Having issues with high fever with eye ache for past few days,Dengue
Suffering from chest pain with headache,Hypertension
nausea with stomach discomfort for a while now,Peptic Ulcer
severe headache worst ever with fever,Meningitis
profound fatigue not explained for the past few days,Chronic Fatigue Syndrome
frequent hunger with weight loss,Diabetes
unbearable pain in toe joint,Gout
Suffering from acid backup into throat,GERD
persistent productive cough that won't go away,Bronchitis
Feeling tiredness and shortness of breath,Anemia
constipation and fatigue,Hypothyroidism
I have sharp pain below ribcage that won't go away,Kidney Stones
cough with phlegm and it's getting worse for several days,Pneumonia
chills with headache for past few days,Malaria
Recently developed Feeling cough with phlegm,Pneumonia
strong urge to urinate,Urinary Tract Infection
Feeling high fever with body ache,Influenza
trouble swallowing with heartburn since yesterday,GERD
seizures with high fever and headache,Meningitis
degenerative joint disease hurt for the past few days,Osteoarthritis
weight loss with increased appetite for past few days,Hyperthyroidism
autoimmune arthritis multiple joints for the past few days,Rheumatoid Arthritis
fatigue with chronic loose stools and it's getting worse that started today,Celiac Disease
abdominal pain worse with coughing or walking,Appendicitis
hot with constipation since yesterday,Typhoid
Suffering from drooping face weak arm slurred speech,Stroke
sharp infection spreading through body that won't go away,Sepsis
Feeling sudden extreme headache like never before,Stroke
pelvic discomfort that won't go away,Urinary Tract Infection
Recently developed shortness of breath and persistent cough,Bronchitis
Having joint discomfort and stiffness for a while now,Arthritis
chest tightness and cough,Asthma
high fever with eye pain,Dengue
Feeling Experiencing periodic fever attacks recently,Malaria
I have mottled skin poor circulation fever since this morning,Sepsis
skin eruptions with itching,Chickenpox
wear and tear arthritis,Osteoarthritis
Recently developed high fever with chills for the past few days,Malaria
I'm experiencing difficulty breathing for past few days,COVID-19
I've been having kidney stone attack pain nausea vomiting,Kidney Stones
Started experiencing gallstone attack severe right upper belly hurt,Gallstones
arthritis pain hands knees hips,Osteoarthritis
chest pain after lying down,GERD
Been dealing with throat pain high temperature swelling glands for the last couple of days,Tonsillitis
Feeling joint pain worse with activity,Osteoarthritis
cough with colored mucus,Bronchitis
squeezing sensation in center of chest that won't go away for the past few days,Heart Attack
fever chills and nausea,Malaria
pain on one side of head,Migraine
Recently developed chest congestion,Bronchitis
red spots spreading from face,Measles
Recently developed feeling cold and drained,Hypothyroidism
altered mental status with fever,Meningitis
Started experiencing productive dry cough with fever,Pneumonia
I've been having burning sensation during urination,Urinary Tract Infection
face swelling difficulty breathing hives for the past few days,Anaphylaxis
Experiencing persistent cough with mucus for the past few days,Bronchitis
Suffering from extreme sore throat can't swallowing for over a week,Tonsillitis
burning abdomen pain between meals for a while now,Peptic Ulcer
sluggishness and weight gain for the past few days,Hypothyroidism
Recently developed persistent cough lasting weeks,Tuberculosis
drug allergy rash itching swelling,Allergic Reaction
celiac disease gluten intolerance,Celiac Disease
fibromyalgia pain fatigue memory problems,Fibromyalgia
Having issues with sensitive to touch pressure pain,Fibromyalgia
irritability with light sensitivity fever,Meningitis
weakness and pallor since yesterday,Anemia
loss of height over time and it's getting worse,Osteoporosis
Started experiencing rapid pulse with dizziness after eating that started today,Anaphylaxis
postnasal drip with facial pressure since yesterday,Sinusitis
Started experiencing abdominal hurt worse with coughing or walking for several days,Appendicitis
pelvic soreness since yesterday and it's getting worse,Urinary Tract Infection
osteoporosis symptoms back hurt height loss for a while now,Osteoporosis
chest tightness and cough for a while now,Asthma
osteoarthritis symptoms joint pain stiffness and it's getting worse,Osteoarthritis
fatigue with chronic diarrhea,Celiac Disease
upper body ache breastbone area arms back neck jaw that won't go away,Heart Attack
bad right abdominal pain with vomiting for the past few days,Appendicitis
Having issues with appendix pain with temperature and loss of appetite,Appendicitis
body ache with high temperature for past few days,Influenza
Been dealing with photophobia severe headache neck stiffness since yesterday,Meningitis
Having issues with seasonal allergies sneezing congestion,Allergic Reaction
chronic diarrhea malabsorption,Celiac Disease
rash starting on face that won't go away,Measles
Been dealing with severe infection spreading through body,Sepsis
Been dealing with acute hurt lower right quadrant with fever,Appendicitis
tonsillitis fever sore throat swelling and it's getting worse,Tonsillitis
Started experiencing Suffering from high fever with joint pain,Dengue
Suffering from Feeling high fever with body ache,Influenza
Started experiencing pounding in breastbone area,Hypertension
Started experiencing gluten triggers digestive symptoms,Celiac Disease
I have Having frequent hunger with weight loss,Diabetes
heat intolerance and it's getting worse since yesterday,Hyperthyroidism
I've been having abdominal pain eating wheat products,Celiac Disease
Having issues with nervousness and anxiety,Hyperthyroidism
productive cough,Bronchitis
swollen red hot joint overnight,Gout
runny nose and sneezing,Common Cold
widespread musculoskeletal pain chronic since yesterday,Fibromyalgia
loose stools and fever,Gastroenteritis
Feeling fever and extreme fatigue,Influenza
I have extreme abdominal pain with nausea and puking recently,Appendicitis
squeezing sensation in center of chest for the past few days,Heart Attack
throbbing pain with nausea,Migraine
Having issues with gallbladder pain after eating fatty foods since this morning,Gallstones
bone fatigue fractures with minimal trauma for a while now,Osteoporosis
weight loss and fatigue for a while now,Tuberculosis
Been dealing with chest tightness since yesterday,Asthma
intense headache one side,Migraine
Having issues with height loss stooped posture,Osteoporosis
measles rash with cough and it's getting worse that started today,Measles
fever with rash,Dengue
I'm experiencing blurred vision and thirst,Diabetes
Suffering from chest pain with cough,Tuberculosis
I have fever with red spots for the past few days,Dengue
bone on bone grinding sensation,Osteoarthritis
throat pain and runny nose,Common Cold
I have constant thirst that won't go away,Diabetes
Suffering from rash that doesn't fade when pressed since yesterday,Meningitis
unexplained weight gain,Hypothyroidism
thick yellow or green nasal discharge for the past few days,Sinusitis
I've been having burning in chest after eating,GERD
high fever with eye pain for the past few days,Dengue
I'm experiencing loss of height over time,Osteoporosis
Recently developed weakness and dizzy,Anemia
sudden onset joint pain at night and it's getting worse,Gout
paralysis on one side of body sudden,Stroke
infected tonsils painful swallowing,Tonsillitis
intestinal damage from gluten and it's getting worse,Celiac Disease
I'm experiencing neck rigidity cannot bend neck forward,Meningitis
Having sneezing and watery eyes,Common Cold
Been dealing with Recently developed weight loss and sweating,Hyperthyroidism
I'm experiencing rheumatoid nodules with articulation pain,Rheumatoid Arthritis
I'm experiencing meningitis symptoms headache stiff neck fever recently,Meningitis
rapid pulse with nervousness for a while now,Hyperthyroidism
gastric ulcer gnawing pain for a while now,Peptic Ulcer
Feeling sharp headache worst ever with feverish,Meningitis
Started experiencing itching without rash after contact for a while,Allergic Reaction
stooped posture bent forward,Osteoporosis
GERD acid reflux heartburn symptoms,GERD
I'm experiencing paralysis on one side of body sudden,Stroke
Suffering from feverish with skin red spots and it's getting worse since yesterday,Chickenpox
fever with abdominal discomfort for past few days and it's getting worse,Typhoid
throat infection swollen tonsils,Tonsillitis
Having issues with rapid breathing over 20 breaths per minute,Sepsis
Recently developed pulsating headache that won't go away,Migraine
I have nasal discharge with facial ache,Sinusitis
painful urination with pink or red urine,Kidney Stones
Suffering from appendix pain with feverish and loss of appetite,Appendicitis
Having issues with congestion with mild pain in head,Common Cold
bacterial meningitis symptoms neck pain headache,Meningitis
nasal discharge with facial pain,Sinusitis
Recently developed sore throat with cough,Common Cold
sweating and tremors that won't go away,Hyperthyroidism
Recently developed widespread pain all over body,Fibromyalgia
Feeling chest discomfort,Hypertension
Having issues with tiredness with pale complexion,Anemia
Feeling burning sensation during urination since yesterday,Urinary Tract Infection
Having issues with feverish with body ache since yesterday,COVID-19
intense headache one side for the past few days,Migraine
I have intense cramping in back and side,Kidney Stones
Having issues with vision problems,Hypertension
irritability with light sensitivity feverish and it's getting worse,Meningitis
I've been having nosebleeds with headache recently,Hypertension
Started experiencing sinus pressure head ache congestion,Sinusitis
tonsillitis symptoms throat pain fever,Tonsillitis
I have fever with chest pain,Pneumonia
Started experiencing high temperature with bleeding gums,Dengue
I'm experiencing chronic inflammation joints morning stiffness,Rheumatoid Arthritis
burning while urinating for a while now,Urinary Tract Infection
celiac disease diarrhea weight loss for the past few days,Celiac Disease
Having issues with frequent urination,Diabetes
I'm experiencing breathlessness with fatigue,Anemia
age-related arthritis joint discomfort,Osteoarthritis
unrefreshing sleep still tired,Chronic Fatigue Syndrome
Started experiencing red rash spreading,Measles
I'm experiencing tummy cramps with nausea,Gastroenteritis
Feeling unbearable ache in toe articulation,Gout
sleep problems with body pain,Fibromyalgia
persistent cough lasting weeks since yesterday and it's getting worse,Tuberculosis
post-exertional malaise severe fatigue,Chronic Fatigue Syndrome
difficulty breathing and cough,Pneumonia
I have fever and fatigue for a while,Typhoid
I've been having Recently developed thorax congestion,Bronchitis
Having issues with bilateral joints pain hands wrists for the last couple of days,Rheumatoid Arthritis
Recently developed high fever with dry cough,Pneumonia
fever and fatigue for past few days,COVID-19
joint pain stiffness morning lasting hours,Rheumatoid Arthritis
Having issues with cold sensitivity for past few days,Hypothyroidism
bulging fontanelle in infant with fever that won't go away that began suddenly,Meningitis
Suffering from fever with chest pain,Pneumonia
Having issues with burning sensation during urination since yesterday,Urinary Tract Infection
Having issues with chronic cough from acid reflux that started today,GERD
chest tightness with shortness of breath,Heart Attack
Been dealing with small joints hands feet affected,Rheumatoid Arthritis
Been dealing with breathing difficulty and high temperature,COVID-19
burning sensation during urination since yesterday,Urinary Tract Infection
frequent urge to urinate since yesterday,Urinary Tract Infection
painful in jaw neck or back with chest discomfort for a while now,Heart Attack
breathlessness with fatigue since yesterday,Anemia
Been dealing with headache with sensitivity to light,Migraine
gastroesophageal reflux burning chest,GERD
constipation and fatigue and it's getting worse that began suddenly,Hypothyroidism
Feeling fibromyalgia symptoms pain fatigue,Fibromyalgia
difficulty breathing after allergen exposure and it's getting worse,Anaphylaxis
Recently developed sour taste in mouth regurgitation,GERD
mild fever with runny nose for past few days,Common Cold
feeling like might die sense of doom,Sepsis
severe fatigue and fever,Influenza
painful urination with pink or red urine and it's getting worse,Kidney Stones
anxiety with weight loss,Hyperthyroidism
brittle bones break easily,Osteoporosis
chest discomfort spreading to shoulders,Angina
I've been having pain under right shoulder blade for over a week,Gallstones
post-exertional malaise severe fatigue and it's getting worse,Chronic Fatigue Syndrome
Feeling weight gain with tiredness since yesterday,Hypothyroidism
chest discomfort,Hypertension
fragile bones frequent fractures since yesterday,Osteoporosis
skin rash red itchy bumps,Allergic Reaction
Feeling contact dermatitis red itchy skin rash,Allergic Reaction
I've been having easily fractured bones osteoporosis,Osteoporosis
I'm experiencing burning sensation in stomach,Peptic Ulcer
red itchy welts on skin since yesterday,Allergic Reaction
I'm experiencing Suffering from fatigue and fatigue,Anemia
enlarged tonsils with pus,Tonsillitis
I've been having severe throbbing headache,Migraine
Feeling sinus hurt worse bending forward,Sinusitis
abdominal pain with feverish for a while now,Typhoid
sinus ache worse bending forward and it's getting worse,Sinusitis
Recently developed difficulty breathing,COVID-19
nausea with stomach discomfort,Peptic Ulcer
face drooping on one side can't smile that won't go away,Stroke
pulsating headache that won't go away,Migraine
small joints hands feet affected,Rheumatoid Arthritis
wheezing with dry cough that won't go away,Bronchitis
sudden pain in upper right abdomen,Gallstones
Been dealing with excruciating flank soreness that comes in waves for several days,Kidney Stones
autoimmune arthritis multiple joints,Rheumatoid Arthritis
Recently developed shivering and high burning up,Malaria
I have rash with burning up,Chickenpox
I've been having shortness of breath,Hypertension
fever and fatigue for past few days that won't go away,COVID-19
I'm experiencing wheezing and cough for past few days,Asthma
right side stomach pain with constipation,Appendicitis
Feeling stomach cramps with nausea since yesterday,Gastroenteritis
fever with itchy spots for the past few days,Chickenpox
I've been having prolonged high temperature,Typhoid
diarrhea after eating gluten,Celiac Disease
Started experiencing fibromyalgia ache fatigue memory problems,Fibromyalgia
difficulty swallowing tonsils swollen,Tonsillitis
high fever with cough since yesterday,Pneumonia
burning stomach soreness between meals that won't go away,Peptic Ulcer
feeling like elephant sitting on chest,Heart Attack
Suffering from chronic exhaustion lasting months,Chronic Fatigue Syndrome
pelvic pain,Urinary Tract Infection
sweating with fever and it's getting worse,Malaria
peptic ulcer hurt upper belly for a while now,Peptic Ulcer
