symptom_text,disease
Having issues with nausea vomiting with breathing difficulty,Anaphylaxis
Been dealing with extreme reaction to food medication insect for a while,Anaphylaxis
Been dealing with feeling sick vomit with breathing hard to for the last couple of days,Anaphylaxis
wheezing difficulty breathing tight chest for the past few days,Anaphylaxis
hives all over body itching swelling,Anaphylaxis
difficulty breathing after allergen exposure,Anaphylaxis
wheezing problems breathing tight chest and it's getting worse that began suddenly,Anaphylaxis
I'm experiencing severe allergic reaction throat swelling,Anaphylaxis
nausea vomiting with breathing difficulty,Anaphylaxis
Having issues with neck closing up can't swallow,Anaphylaxis
feeling faint after bee sting,Anaphylaxis
There is itchy hives spreading rapidly all over,Anaphylaxis
throat closing up can't swalvery low,Anaphylaxis
I have itchy bumps spreading rapidly all over ongoing for 1 week,Anaphylaxis
I have feeling faint after bee sting for a while now,Anaphylaxis
Been dealing with anaphylactic shock immediate severe reaction began 1 week back,Anaphylaxis
Been dealing with anaphylactic shock sudden severe reaction lasting 3 days,Anaphylaxis
I have unable to breathing after allergen exposure gets worse after eating,Anaphylaxis
face swelling trouble breathing hives,Anaphylaxis
There is face swelling difficulty breathing hives,Anaphylaxis
Started experiencing rapid pulse with dizziness after eating that started today ongoing for 2 days,Anaphylaxis
I've been having difficulty breathing after allergen exposure and it's getting worse,Anaphylaxis
difficulty air intake after allergen exposure and it's getting worse started couple weeks ago,Anaphylaxis
bad reaction to food medication insect for a while now especially at night,Anaphylaxis
anaphylactic shock sudden severe reaction since yesterday since 1 week ago,Anaphylaxis
anaphylactic shock sudden extreme reaction since yesterday for the past few days,Anaphylaxis
Started experiencing swollen tongue and lips trouble breathing since 3 days ago,Anaphylaxis
Started experiencing swollen tongue and lips trouble breathing gets worse after eating,Anaphylaxis
I'm experiencing anaphylaxis symptoms throat swelling breathing trouble for the past 1 week,Anaphylaxis
wheezing difficulty respiration tight chest,Anaphylaxis
hives all over body itching inflammation and it's getting worse recently,Anaphylaxis
anaphylactic shock out of nowhere severe reaction,Anaphylaxis
sudden drop in blood pressure dizziness especially at night,Anaphylaxis
Suffering from severe allergic reaction neck swelling that started today triggered by activity,Anaphylaxis
Suffering from severe allergic reaction neck swelling that started today for the past 1 month,Anaphylaxis
severe reaction to food medication insect ongoing for 1 month,Anaphylaxis
rapid pulse with dizziness after eating worsening gradually,Anaphylaxis
I'm experiencing Having issues with throat closing up can't swallow,Anaphylaxis
There is sudden drop in blood pressure dizziness for a while now,Anaphylaxis
face swelling hard to breathing hives that won't go away constant throughout the day,Anaphylaxis
I'm experiencing Suffering from anaphylaxis symptoms neck swelling breath trouble since this morning,Anaphylaxis
Been dealing with hives all over body itching swelling triggered by activity,Anaphylaxis
I've noticed Recently developed anaphylaxis symptoms throat bloating respiration trouble,Anaphylaxis
I'm experiencing Recently developed anaphylaxis symptoms throat swelling respiration trouble,Anaphylaxis
I'm experiencing Having issues with sudden drop in blood pressure dizziness,Anaphylaxis
I'm experiencing Having issues with nausea vomiting with breathing difficulty ongoing for 2 days,Anaphylaxis
Been dealing with extreme reaction to food medication insect for a while since 2 days ago,Anaphylaxis
Been dealing with extreme reaction to food medication insect for a while triggered by activity,Anaphylaxis
wheezing problems breathing tight chest and it's getting worse that began suddenly started several days ago,Anaphylaxis
nausea vomiting with breathing difficulty lasting 1 month,Anaphylaxis
I've noticed Having issues with neck closing up can't swallow,Anaphylaxis
Having issues with neck closing up can't swalsignificantly reduced worsening gradually,Anaphylaxis
feeling faint after bee sting started 2 weeks ago,Anaphylaxis
itchy skin eruption spreading rapidly all over,Anaphylaxis
itchy rash spreading rapidly all over since 1 month ago,Anaphylaxis
itchy rash spreading rapidly all over lasting 2 days worse in the morning,Anaphylaxis
throat closing up can't swalsignificantly reduced began 2 days back,Anaphylaxis
feeling faint after bee sting for a while now ongoing for 3 days,Anaphylaxis
feeling faint after bee sting for a while now worsening gradually,Anaphylaxis
Been dealing with anaphylactic shock sudden severe reaction suddenly appeared,Anaphylaxis
Been dealing with anaphylactic shock sudden severe reaction ongoing for few days,Anaphylaxis
I have unable to breathing after allergen exposure began 2 weeks back especially at night,Anaphylaxis
face swelling trouble air intake hives started several days ago,Anaphylaxis
face swelling difficulty breathing hives constant throughout the day,Anaphylaxis
I have face swelling difficulty respiration hives for the past few days,Anaphylaxis
face swelling difficulty air intake hives for the past few days,Anaphylaxis
Having weakness and pallor since yesterday,Anemia
breathlessness with fatigue,Anemia
tiredness and shortness of breath that won't go away,Anemia
Having issues with shortness of breath,Anemia
Feeling tiredness and shortness of breath,Anemia
weakness and pallor since yesterday,Anemia
Recently developed weakness and dizzy,Anemia
Having issues with tiredness with pale complexion,Anemia
I'm experiencing breathlessness with fatigue,Anemia
breathlessness with fatigue since yesterday,Anemia
I'm experiencing Suffering from fatigue and fatigue,Anemia
Recently developed Recently developed pale skin,Anemia
Started experiencing I have shortness of breath recently,Anemia
weakness and dizziness,Anemia
tiredness and shortness of breath,Anemia
fatigue with pale skin,Anemia
dizziness and fatigue for the past few days,Anemia
Recently developed fatigue and weakness,Anemia
pale skin for the past few days,Anemia
Suffering from fatigue and weakness,Anemia
weakness and pallor,Anemia
Having issues with dizziness and fatigue,Anemia
dizziness and fatigue for past few days,Anemia
Having weakness and pallor,Anemia
Been dealing with pale skin for the past few days,Anemia
shortness of breath,Anemia
Been dealing with weakness and dizziness,Anemia
Been dealing with lightheaded and fatigue for past few days,Anemia
shortness of breath for a while now,Anemia
Started experiencing weakness and pallor,Anemia
Recently developed spinning sensation and fatigue for past few days,Anemia
I have shortness of breath,Anemia
Been dealing with fatigue and weakness,Anemia
tiredness with pale complexion,Anemia
Recently developed pale skin,Anemia
fatigue and weakness,Anemia
I'm experiencing fatigue with pale skin,Anemia
Recently developed pale skin that won't go away,Anemia
pale skin,Anemia
I have shortness of breath and it's getting worse,Anemia
dizziness and fatigue,Anemia
Been dealing with fatigue with pale skin that started today,Anemia
Having weakness and pallor that won't go away,Anemia
Been dealing with Suffering from fatigue and weakness,Anemia
tiredness with pale complexion and it's getting worse,Anemia
I have breathlessness with fatigue,Anemia
I have Feeling tiredness and shortness of breath lasting couple weeks,Anemia
weakness and pallor since yesterday for the past 1 week,Anemia
I'm experiencing breathlessness with fatigue ongoing for 1 month constant throughout the day,Anemia
breathlessness with fatigue since yesterday ongoing for several days,Anemia
breathlessness with fatigue since yesterday especially at night,Anemia
I'm experiencing Suffering from weakness and fatigue,Anemia
Recently developed Recently developed pale skin began 1 week back,Anemia
I'm experiencing weakness and dizziness,Anemia
I'm experiencing fatigue with pale skin,Anemia
dizziness and feeling weak for the past few days,Anemia
Having issues with dizziness and fatigue since couple weeks ago,Anemia
There is Having weakness and pallor,Anemia
Been dealing with pale skin for the past few days lasting couple weeks,Anemia
Been dealing with pale skin for the past few days especially at night,Anemia
shortness of breath ongoing for 3 days,Anemia
Been dealing with weakness and dizziness worse in the morning,Anemia
shortness of breath for a while now for the past few days,Anemia
Recently developed spinning sensation and feeling weak for past few days,Anemia
I have shortness of breath lasting 1 month gets worse after eating,Anemia
Been dealing with lack of energy and weakness,Anemia
tiredness with pale complexion lasting 3 days,Anemia
Recently developed pale skin since 2 weeks ago,Anemia
Recently developed pale skin worse in the morning,Anemia
I'm experiencing weakness with pale skin,Anemia
Experiencing Recently developed pale skin that won't go away,Anemia
Been dealing with Suffering from feeling weak and weakness,Anemia
tiredness with pale complexion and it's getting worse suddenly appeared,Anemia
Having weakness and pallor since yesterday triggered by activity,Anemia
breathlessness with fatigue for the past 2 weeks,Anemia
Experiencing tiredness and shortness of breath that won't go away for the past 1 week,Anemia
Having issues with shortness of breath especially at night,Anemia
There is Feeling tiredness and shortness of breath,Anemia
weakness and pallor since yesterday ongoing for 2 days,Anemia
Recently developed weakness and dizzy for the past 1 month,Anemia
Recently developed weakness and dizzy ongoing for 1 week,Anemia
I have Having issues with tiredness with pale complexion,Anemia
I'm experiencing breathlessness with fatigue since 3 days ago,Anemia
I'm experiencing breathlessness with fatigue began 1 week back,Anemia
breathlessness with lack of energy since yesterday,Anemia
breathlessness with fatigue since yesterday started 1 month ago,Anemia
Recently developed Recently developed pale skin started 1 week ago,Anemia
Started experiencing I have shortness of breath recently for the past few days,Anemia
weakness and dizziness since 1 week ago,Anemia
tiredness and shortness of breath began 3 days back,Anemia
I suffer from fatigue with pale skin,Anemia
I'm experiencing fatigue with pale skin,Anemia
fatigue with pale skin suddenly appeared,Anemia
dizziness and fatigue for the past few days ongoing for several days,Anemia
dizziness and fatigue for the past few days for the past couple weeks,Anemia
dizziness and fatigue for the past few days began 3 days back,Anemia
Recently developed fatigue and weakness worsening gradually,Anemia
pale skin for the past few days ongoing for several days,Anemia
I'm experiencing pale skin for the past few days,Anemia
Suffering from fatigue and weakness worse in the morning,Anemia
angina attack during physical activity for a while now,Angina
chest tightness during exercise,Angina
chest discomfort spreading to shoulders and it's getting worse,Angina
Suffering from shortness of breath with upper body tightness,Angina
discomfort in chest arms neck jaw back since yesterday,Angina
Having issues with painful subsides within 5 minutes of rest for over a week,Angina
chest pain goes away after resting,Angina
chest discomfort spreading to shoulders,Angina
recurring chest pain with activity,Angina
pain subsides within 5 minutes of rest,Angina
Having issues with recurring chest pain with activity,Angina
pain in chest arms neck jaw back for the past few days,Angina
I'm experiencing pressure or squeezing in chest during activity,Angina
I've been having upper body pain relieved by rest for the past few days,Angina
pressure or squeezing in chest during activity,Angina
chest pain relieved by rest,Angina
I've been having upper body tightness during exercise,Angina
chest discomfort improves with nitroglycerin and it's getting worse,Angina
Been dealing with ache subsides within 5 minutes of rest,Angina
Feeling tight band around chest when walking,Angina
chest pain or discomfort with exertion,Angina
I have pressure in thorax when climbing stairs,Angina
stable angina pain predictable pattern for the past few days,Angina
recurring breastbone area discomfort with activity and it's getting worse,Angina
chest soreness or discomfort with exertion for a while now,Angina
chest discomfort improves with nitroglycerin,Angina
tight band around chest when walking,Angina
I've been having breastbone area discomfort improves with nitroglycerin,Angina
Feeling shortness of breath with chest tightness for a while,Angina
Recently developed stable angina pain predictable pattern,Angina
I have pressure or squeezing in chest during activity that started today,Angina
stable angina pain predictable pattern,Angina
Suffering from pressure in chest when climbing stairs for a while,Angina
pain in chest arms neck jaw back,Angina
upper body discomfort spreading to shoulders since yesterday,Angina
angina attack during physical activity for the past few days,Angina
chest pain relieved by rest for the past few days,Angina
pressure in chest when climbing stairs,Angina
chest ache goes away after resting that won't go away recently,Angina
I'm experiencing chest pain goes away after resting,Angina
I have chest pain or discomfort with exertion,Angina
Started experiencing tight band around upper body when walking that began suddenly,Angina
Feeling chest tightness during exercise,Angina
angina attack during physical activity,Angina
shortness of breath with chest tightness,Angina
Having issues with painful subsides within 5 minutes of rest for over a week especially at night,Angina
I'm experiencing Having issues with painful subsides within 5 minutes of rest for over a week,Angina
chest pain goes away after resting lasting 2 weeks,Angina
rib cage area pain goes away after resting,Angina
upper body discomfort spreading to shoulders,Angina
chest discomfort spreading to shoulders for the past 2 weeks,Angina
recurring chest dull ache with activity,Angina
pain subsides within 5 minutes of rest since several days ago,Angina
There is Having issues with recurring chest pain with activity,Angina
Having issues with recurring chest pain with activity constant throughout the day,Angina
I'm experiencing pressure or squeezing in chest area during activity especially at night,Angina
I'm experiencing pressure or squeezing in chest during activity lasting 2 days,Angina
I've been having chest pain relieved by rest,Angina
chest discomfort improves with nitroglycerin and it's getting worse ongoing for couple weeks,Angina
chest discomfort improves with nitroglycerin and it's getting worse comes and goes,Angina
Feeling tight band around chest when walking ongoing for 3 days,Angina
chest sharp pain or discomfort with exertion,Angina
There is recurring breastbone area discomfort with activity and it's getting worse,Angina
thorax soreness or discomfort with exertion for a while now,Angina
I have chest soreness or discomfort with exertion for a while now comes and goes,Angina
tight band around rib cage area when walking,Angina
tight band around rib cage area when walking comes and goes,Angina
I'm experiencing Feeling shortness of breath with chest tightness for a while for the past 3 days,Angina
I'm experiencing Recently developed stable angina pain predictable pattern especially at night,Angina
I have pressure or squeezing in chest area during activity that started today since 1 week ago,Angina
I've noticed stable angina dull ache predictable pattern,Angina
stable angina pain predictable pattern triggered by activity,Angina
Experiencing Suffering from pressure in chest when climbing stairs for a while,Angina
ache in chest arms neck jaw back gets worse after eating,Angina
upper body discomfort spreading to shoulders since yesterday for the past 3 days,Angina
angina attack during physical activity for the past few days gets worse after eating,Angina
chest pain relieved by rest for the past few days since 2 weeks ago gets worse after eating,Angina
I'm experiencing pressure in chest when climbing stairs,Angina
I have chest pain or discomfort with exertion for the past 2 weeks gets worse after eating,Angina
Started experiencing tight band around upper body when walking that began suddenly started several days ago,Angina
Feeling chest tightness during exercise triggered by activity,Angina
angina attack during physical activity ongoing for several days,Angina
I have shortness of breath with chest tightness,Angina
chest tightness during exercise gets worse after eating,Angina
chest tightness during exercise ongoing for couple weeks worse in the morning,Angina
chest discomfort spreading to shoulders and it's getting worse suddenly appeared,Angina
Suffering from shortness of breath with upper body tightness for the past 2 weeks,Angina
Suffering from shortness of breath with upper body tightness especially at night,Angina
chest sharp pain goes away after resting,Angina
I suffer from chest soreness goes away after resting,Angina
chest discomfort spreading to shoulders started 1 week ago,Angina
recurring upper body pain with activity started 1 week ago,Angina
recurring chest discomfort with activity started 3 days ago,Angina
soreness subsides within 5 minutes of rest for the past 2 weeks,Angina
Having issues with recurring rib cage area hurting with activity,Angina
Having issues with recurring chest pain with activity since 1 month ago,Angina
I've been having Having issues with recurring chest pain with activity,Angina
pain in chest arms neck jaw back for the past few days especially at night,Angina
I've been having upper body pain relieved by rest for the past few days started couple weeks ago,Angina
pressure or squeezing in chest during activity since 1 month ago,Angina
pain started around belly button moved to right,Appendicitis
sharp soreness in lower right abdomen that won't go away,Appendicitis
appendicitis symptoms pain nausea burning up since yesterday,Appendicitis
Feeling pressing on right abdomen causes severe pain,Appendicitis
I have right side stomach discomfort with constipation,Appendicitis
sudden pain near navel that moves to lower right,Appendicitis
abdominal pain worse with coughing or walking,Appendicitis
Started experiencing abdominal hurt worse with coughing or walking for several days,Appendicitis
bad right abdominal pain with vomiting for the past few days,Appendicitis
Having issues with appendix pain with temperature and loss of appetite,Appendicitis
Been dealing with acute hurt lower right quadrant with fever,Appendicitis
I have extreme abdominal pain with nausea and puking recently,Appendicitis
Suffering from appendix pain with feverish and loss of appetite,Appendicitis
right side stomach pain with constipation,Appendicitis
severe right abdominal pain with vomiting,Appendicitis
appendicitis symptoms pain nausea fever,Appendicitis
"can't eat, stomach hurts badly on right side for the past few days",Appendicitis
Recently developed right side stomach pain with constipation,Appendicitis
pressing on right abdomen causes severe pain,Appendicitis
Feeling pain started around belly button moved to right for the last couple of days,Appendicitis
appendix pain with fever and loss of appetite,Appendicitis
sharp pain in lower right abdomen,Appendicitis
I'm experiencing sharp painful in lower right abdomen,Appendicitis
Having issues with sharp right abdominal painful with vomiting,Appendicitis
sudden pain near navel that moves to lower right since yesterday,Appendicitis
Been dealing with sharp stabbing hurt right lower belly,Appendicitis
Feeling lower right belly painful that started near belly button for the last couple of days,Appendicitis
I have tender abdomen right side can't stand straight for a while,Appendicitis
"Recently developed can't eat, stomach hurts badly on right side",Appendicitis
abdominal discomfort worse with coughing or walking that won't go away,Appendicitis
"can't eat, stomach hurts badly on right side",Appendicitis
sharp stabbing pain right lower belly,Appendicitis
Started experiencing hurt started around belly button moved to right,Appendicitis
Started experiencing acute pain lower right quadrant with high temperature for over a week,Appendicitis
pressing on right abdomen causes acute discomfort and it's getting worse,Appendicitis
severe abdominal pain with nausea and vomiting,Appendicitis
sudden pain near navel that moves to lower right that won't go away,Appendicitis
acute pain lower right quadrant with fever,Appendicitis
I've been having appendicitis symptoms pain nausea high temperature for the last couple of days,Appendicitis
Suffering from tender abdomen right side can't stand straight,Appendicitis
Started experiencing severe abdominal pain with nauseous and being sick,Appendicitis
I have lower right belly pain that started near belly button recently,Appendicitis
tender abdomen right side can't stand straight,Appendicitis
Suffering from sharp stabbing pain right lower belly,Appendicitis
lower right belly pain that started near belly button,Appendicitis
sharp soreness in lower right abdomen that won't go away began 2 weeks back,Appendicitis
appendicitis symptoms pain nausea burning up since yesterday lasting few days,Appendicitis
Feeling pressing on right abdomen causes severe pain worse in the morning,Appendicitis
I suffer from sudden pain near navel that moves to significantly reduceder right,Appendicitis
Started experiencing abdominal hurt worse with coughing or walking for several days worse in the morning,Appendicitis
bad right abdominal dull ache with vomiting for the past few days lasting few days worsening gradually,Appendicitis
bad right abdominal pain with vomiting for the past few days gets worse after eating,Appendicitis
Having issues with appendix pain with temperature and loss of appetite ongoing for 1 month,Appendicitis
Having issues with appendix pain with temperature and loss of appetite since 2 days ago,Appendicitis
Been dealing with acute hurt lower right quadrant with pyrexia,Appendicitis
Been dealing with acute hurt lower right quadrant with hot,Appendicitis
Suffering from appendix discomfort with feverish and loss of appetite,Appendicitis
right side stomach pain with constipation suddenly appeared,Appendicitis
severe right abdominal throbbing with vomiting,Appendicitis
"can't eat, stomach hurts badly on right side for the past few days since couple weeks ago",Appendicitis
Recently developed right side stomach pain with constipation lasting couple weeks,Appendicitis
pressing on right abdomen causes extreme pain lasting few days,Appendicitis
appendix soreness with fever and loss of appetite,Appendicitis
sharp pain in lower right abdomen since few days ago,Appendicitis
I'm experiencing sharp painful in very lower right abdominal area,Appendicitis
I'm experiencing sharp painful in significantly reduceder right abdomen,Appendicitis
sudden sharp pain near navel that moves to extremely lower right since yesterday,Appendicitis
I've noticed Been dealing with sharp stabbing hurt right very lower belly,Appendicitis
Been dealing with sharp stabbing hurt right significantly reduceder belly,Appendicitis
I've noticed I have tender abdomen right side can't stand straight for a while,Appendicitis
"Recently developed can't eat, stomach hurts badly on right side started 2 weeks ago",Appendicitis
abdominal discomfort worse with coughing or walking that won't go away comes and goes,Appendicitis
"can't eat, stomach hurts badly on right side began 3 days back",Appendicitis
sharp stabbing pain right extremely lower belly started 3 days ago,Appendicitis
Started experiencing acute pain lower right quadrant with significantly elevated temperature for over a week,Appendicitis
severe abdominal pain with queasy and vomiting,Appendicitis
severe abdominal hurting with nausea and vomiting lasting few days,Appendicitis
sudden pain near navel that moves to very lower right that won't go away,Appendicitis
I suffer from sudden pain near navel that moves to very lower right that won't go away,Appendicitis
acute pain very lower right quadrant with fever,Appendicitis
acute pain lower right quadrant with fever started 1 week ago,Appendicitis
I've been having appendicitis symptoms pain queasy extremely high temperature for the last couple of days,Appendicitis
I've been having appendicitis symptoms pain nausea significantly elevated temperature for the last couple of days ongoing for 1 week especially at night,Appendicitis
Started experiencing severe abdominal pain with nauseous and being sick started 3 days ago,Appendicitis
I've been having I have significantly reduceder right belly pain that started near belly button recently,Appendicitis
Suffering from sharp stabbing pain right dangerously lower belly,Appendicitis
Suffering from sharp stabbing pain right lower belly constant throughout the day,Appendicitis
sharp soreness in very lower right abdomen that won't go away,Appendicitis
I suffer from sharp soreness in dangerously lower right tummy that won't go away,Appendicitis
sharp soreness in lower right abdomen that won't go away began few days back,Appendicitis
appendicitis symptoms pain nausea burning up since yesterday started 1 month ago,Appendicitis
appendicitis symptoms dull ache nausea burning up since yesterday,Appendicitis
Feeling pressing on right abdomen causes acute pain,Appendicitis
I have right side stomach discomfort with constipation lasting few days triggered by activity,Appendicitis
sudden pain near navel that moves to lower right lasting 1 week worsening gradually,Appendicitis
acute pain near navel that moves to very lower right,Appendicitis
sudden pain near navel that moves to dangerously lower right,Appendicitis
abdominal ache worse with coughing or walking constant throughout the day,Appendicitis
Experiencing bad right abdominal pain with vomiting for the past few days lasting 3 days,Appendicitis
Having issues with appendix ache with temperature and loss of appetite,Appendicitis
I've been having joint ache and reduced mobility since this morning,Arthritis
swollen joints since yesterday,Arthritis
I'm experiencing joint pain and stiffness,Arthritis
joint stiffness in morning since yesterday,Arthritis
I have stiff joints after rest,Arthritis
Feeling swelling in hands and feet for several days,Arthritis
pain in multiple joints,Arthritis
pain in multiple joints that won't go away for over a week,Arthritis
Recently developed swollen joints for a while now,Arthritis
joint pain and stiffness,Arthritis
joint pain and reduced mobility,Arthritis
pain in multiple joints since yesterday,Arthritis
Having joint discomfort and stiffness for a while now,Arthritis
Having issues with Having articulation pain and stiffness,Arthritis
I'm experiencing joint discomfort and reduced mobility,Arthritis
stiff joints after rest,Arthritis
Feeling articulation stiffness in morning since yesterday,Arthritis
Having joint pain and stiffness,Arthritis
