symptom_text,disease
difficulty breathing for past few days,COVID-19
fever with abdominal pain for past few days,Typhoid
persistent cough with mucus,Bronchitis
nervousness and anxiety,Hyperthyroidism
Experiencing fever with constipation,Typhoid
chest congestion,Bronchitis
red rash spreading,Measles
breathing difficulty with cough,Pneumonia
fever with bleeding gums,Dengue
wheezing and cough,Asthma
prolonged fever,Typhoid
slow healing wounds,Diabetes
chills with headache for past few days,Malaria
Recently developed swollen joints,Arthritis
severe headache and fever,Influenza
Recently developed pale skin,Anemia
fatigue and weakness,Anemia
Experiencing loss of taste and smell,COVID-19
fever chills and nausea,Malaria
Having difficulty breathing,Asthma
sneezing and watery eyes,Common Cold
joint stiffness in morning,Arthritis
fever with rash,Dengue
Experiencing fever with body ache,Malaria
red spots turning to blisters,Chickenpox
Experiencing frequent urination,Diabetes
pelvic pain since yesterday,Urinary Tract Infection
chest pain and fatigue,Tuberculosis
chest tightness,Asthma
Feeling high fever with body ache,Influenza
chronic cough with blood,Tuberculosis
joint pain and reduced mobility,Arthritis
weight loss with increased appetite for past few days,Hyperthyroidism
congestion with mild headache,Common Cold
diarrhea and vomiting,Gastroenteritis
Suffering from chest pain with cough,Tuberculosis
wheezing with chest pain,Asthma
frequent hunger with weight loss,Diabetes
body ache with high temperature,Influenza
abdominal pain with fever,Typhoid
frequent urination,Diabetes
Feeling severe throbbing headache,Migraine
pain in multiple joints,Arthritis
I have high fever lasting days,Typhoid
severe headache and fever for past few days,Influenza
fever with constipation,Typhoid
periodic fever attacks,Malaria
Recently developed night sweats and fever,Tuberculosis
burning sensation during urination,Urinary Tract Infection
headache with nausea,Migraine
Suffering from chest pain with headache,Hypertension
weakness and dizziness,Anemia
Having nasal congestion and headache,Common Cold
fever and muscle pain,Dengue
Feeling headache and weakness,Typhoid
abdominal pain with diarrhea for past few days,Gastroenteritis
headache with nausea for past few days,Migraine
Feeling rapid heartbeat,Hyperthyroidism
pale skin,Anemia
fever with skin rash,Chickenpox
constant thirst,Diabetes
Recently developed chills with muscle pain,Influenza
weight loss with increased appetite,Hyperthyroidism
Feeling high fever with cough,Pneumonia
productive cough,Bronchitis
nosebleeds with headache,Hypertension
sore throat with cough,Common Cold
excessive thirst and urination,Diabetes
severe throbbing headache,Migraine
tiredness with pale complexion,Anemia
high fever with eye pain,Dengue
Recently developed chest congestion,Bronchitis
fever with chest pain,Pneumonia
shortness of breath,Hypertension
Feeling wheezing with cough,Bronchitis
wheezing and cough for past few days,Asthma
fever and extreme fatigue,Influenza
intense headache one side,Migraine
pain in multiple joints since yesterday,Arthritis
itchy red rash,Chickenpox
Recently developed weight loss and sweating,Hyperthyroidism
weight loss and fatigue,Tuberculosis
Having constipation and fatigue,Hypothyroidism
shortness of breath at night since yesterday,Asthma
dizziness and headache,Hypertension
severe headache,Hypertension
rash with fever,Measles
unexplained weight gain,Hypothyroidism
dizziness and fatigue for past few days,Anemia
muscle weakness and fatigue,Hypothyroidism
red bumps turning to blisters,Chickenpox
difficulty breathing,Hypertension
increased appetite with fatigue,Diabetes
I have severe headache,Hypertension
Recently developed pain on one side of head,Migraine
fever and sweating episodes,Malaria
itchy rash with blisters,Chickenpox
coughing up blood since yesterday,Tuberculosis
rapid heartbeat,Hyperthyroidism
Having itchy bumps on skin,Chickenpox
Having difficulty breathing and cough,Pneumonia
cough with loss of taste,COVID-19
persistent cough lasting weeks,Tuberculosis
fever with abdominal pain,Typhoid
fever and chesty cough,Pneumonia
throbbing pain with nausea,Migraine
Having sneezing and watery eyes,Common Cold
swollen joints,Arthritis
Having weakness and pallor,Anemia
high fever with chills,Malaria
cold intolerance with fatigue,Hypothyroidism
stomach cramps with nausea,Gastroenteritis
chest tightness with cough,Bronchitis
Having joint pain and stiffness,Arthritis
coughing up phlegm,Bronchitis
